127.0.0.1 - - [26/May/2021:16:44:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/index.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/css/indexpage.css HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/css/default.css HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/img/movie.png HTTP/1.1" 200 4343
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/img/cinema.jpg HTTP/1.1" 200 218195
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/img/instagram-2.png HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /MovieProject/img/facebook.png HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:50 +0900] "GET /MovieProject/member/loginForm.jsp HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:50 +0900] "GET /MovieProject/css/login.css HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [26/May/2021:16:44:58 +0900] "POST /MovieProject/member/loginPro.jsp HTTP/1.1" 500 2536
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:18 +0900] "GET /MovieProject/index.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /MovieProject/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /MovieProject/img/movie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /MovieProject/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /MovieProject/img/cinema.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /MovieProject/css/indexpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /MovieProject/img/instagram-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:20 +0900] "GET /MovieProject/member/loginForm.jsp HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:20 +0900] "GET /MovieProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:24 +0900] "POST /MovieProject/member/loginPro.jsp HTTP/1.1" 500 2536
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:37 +0900] "GET /MovieProject/member/joinForm.jsp HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:37 +0900] "GET /MovieProject/js/jquery-3.6.0.js HTTP/1.1" 200 288579
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:37 +0900] "GET /MovieProject/js/address.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:37 +0900] "GET /MovieProject/js/joinCheck.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [26/May/2021:16:46:42 +0900] "GET /MovieProject/member/IDdup_check.jsp?user_id=kdqwdgqg HTTP/1.1" 500 2529
